title,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award,is_holiday,success
DEJA VU,"After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.",2006,126,96283854,231797024,Touchstone Pictures,PG-13,2006-11-22,['Tony Scott'],"['Denzel Washington', 'Paula Patton', 'Jim Caviezel', 'Val Kilmer']","['Action', 'Crime', 'Sci-Fi', 'Thriller']",1,False,True
PERFECT STRANGER,"A journalist goes undercover to ferret out businessman Harrison Hill as her childhood friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.",2007,109,75886288,91787666,Revolution Studios,R,2007-04-13,['James Foley'],"['Halle Berry', 'Bruce Willis', 'Giovanni Ribisi', 'Richard Portnow']","['Crime', 'Mystery', 'Thriller']",0,False,True
THE AIR I BREATHE,"A drama based on an ancient Chinese proverb that breaks life down into four emotional cornerstones: happiness, pleasure, sorrow and love. A businessman bets his life on a horse race; a gangster sees the future; a pop star falls prey to a crime boss; a doctor must save the love of his life.",2007,95,12482323,3248023,NALA Films,R,2008-10-17,['Jieho Lee'],"['Brendan Fraser', 'Sarah Michelle Gellar', 'Andy Garcia', 'Kevin Bacon']","['Crime', 'Drama', 'Thriller']",0,False,False
MIRACLE,"Karsten (35) is at a standstill. He has been since his wife died four years ago. He thinks he's fine, until he meets what could be the love of his life - but isn't she all what he despises in a woman?",2006,105,19256770,322477,Nordisk Film,,2006-12-26,['Thomas Kaiser'],"['Christian Skolmen', 'Eva Röse', 'Cecilie A. Mosli', 'Stig Henrik Hoff']",['Romance'],0,False,False
FAIR GAME,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,2010,108,26111833,30630311,River Road Entertainment,PG-13,2010-12-03,['Doug Liman'],"['Naomi Watts', 'Sean Penn', 'Sonya Davison', 'Vanessa Chong']","['Biography', 'Drama', 'Thriller']",1,False,True
THE WAVE,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,2008,107,6010390,38887989,Rat Pack Filmproduktion,Unrated,2011-05-27,['Dennis Gansel'],"['Jürgen Vogel', 'Frederick Lau', 'Max Riemelt', 'Jennifer Ulrich']","['Drama', 'Thriller']",0,False,True
MY NAME IS KHAN,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,2010,165,14242818,50259772,Dharma Productions,PG-13,2010-02-12,['Karan Johar'],"['Shah Rukh Khan', 'Kajol', 'Sheetal Menon', 'Katie A. Keane']",['Drama'],0,False,True
ROBOCOP,"In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.",2014,117,109324733,265319063,MetroGoldwynMayer MGM,PG-13,2014-02-12,['José Padilha'],"['Joel Kinnaman', 'Gary Oldman', 'Michael Keaton', 'Abbie Cornish']","['Action', 'Crime', 'Sci-Fi', 'Thriller']",0,False,True
DESTERE,A comedy film about a parody saw movies.,2008,90,1202078,1477178,Zero Film,,2008-11-21,"['Ahmet T. Uygun', 'Gürcan Yurt']","['Devrim Atmaca', 'Peker Açikalin', 'Önder K. Açikbas', 'Baris Basar']","['Comedy', 'Crime']",0,False,True
FREERUNNER,"With a ticking bomb locked to his neck, a young freerunner races against the clock and all types of baddies to get from one end of the city to the other to save himself and his girlfriend.",2011,87,5752915,258002,Vitamin A Films,R,2012-07-13,['Lawrence Silverstein'],"['Sean Faris', 'Tamer Hassan', 'Rebecca Da Costa', 'Danny Dyer']",['Action'],0,False,False
UNIVERSAL SOLDIER DAY OF RECKONING,"John looks to take down Luc Deveraux after a home invasion claims his wife and daughter. The fight pits John against Andrew Scott and an army of genetically enhanced warriors; meanwhile, he must contend with a UniSol in relentless pursuit.",2012,114,11272550,1580757,Foresight Unlimited,R,2012-10-25,['John Hyams'],"['Jean-Claude Van Damme', 'Dolph Lundgren', 'Scott Adkins', 'Mariah Bonner']","['Action', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",0,False,False
SIMINDIS KUNDZULI,The river creates and the river destroys in an eternal cycle that even man can't escape.,2014,100,1639870,40936,42film,,2014-09-17,['George Ovashvili'],"['Ilyas Salman', 'Mariam Buturishvili', 'Irakli Samushia', 'Tamer Levent']","['Drama', 'War']",0,False,False
THE FINEST HOURS,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,2016,117,86267817,56180934,Walt Disney Pictures,PG-13,2016-01-29,['Craig Gillespie'],"['Chris Pine', 'Casey Affleck', 'Ben Foster', 'Eric Bana']","['Action', 'Drama', 'History', 'Thriller']",0,False,False
SLEEPLESS,A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.,2017,95,31675628,34755927,Open Road Films II,R,2017-01-13,['Baran bo Odar'],"['Jamie Foxx', 'Michelle Monaghan', 'Dermot Mulroney', 'Gabrielle Union']","['Action', 'Crime', 'Thriller']",1,False,True
SPRING BREAKERS,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.",2012,94,5636275,36264245,Muse Productions,R,2013-03-22,['Harmony Korine'],"['Vanessa Hudgens', 'Selena Gomez', 'Ashley Benson', 'Rachel Korine']","['Crime', 'Drama']",0,False,True
DORMANT BEAUTY,"A mosaic of several intertwined stories questioning the meaning of life, love and hope, set during the last six days in the life of Eluana Englaro, a young woman who spent 17 years in a vegetative state.",2012,115,6425353,1886162,Cattleya,Unrated,2012-09-06,['Marco Bellocchio'],"['Toni Servillo', 'Isabelle Huppert', 'Alba Rohrwacher', 'Michele Riondino']",['Drama'],0,False,False
DARK TOUCH,"In a remote Irish village, police are called to the scene of a bloody massacre, but they ignore the lone survivor's claim that the house was responsible for the carnage that killed her parents and brother.",2013,90,3032471,285499,Canal,Unrated,2014-03-19,['Marina de Van'],"['Missy Keating', 'Marcella Plunkett', 'Pádraic Delaney', 'Charlotte Flyvholm']",['Horror'],0,False,False
DAVID,The lives of three different men named David are about to change forever.,2013,155,555490927,19806,Getaway Films,Unrated,2013-02-01,['Bejoy Nambiar'],"['Vikram', 'Neil Nitin Mukesh', 'Vinay Virmani', 'Tabu']","['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",0,False,False
HOLIDAY A SOLDIER IS NEVER OFF DUTY,"A soldier on vacation finds himself hunting down a terrorist. A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",2014,160,546623665,1519672,Cape of Good Films,Unrated,2014-10-03,['A.R. Murugadoss'],"['Akshay Kumar', 'Sonakshi Sinha', 'Freddy Daruwala', 'Sumeet Raghvan']","['Action', 'Thriller']",0,False,False
YOUNG  BEAUTIFUL,"After losing her virginity, Isabelle takes up a secret life as a call girl, meeting her clients for hotel-room trysts. Throughout, she remains curiously aloof, showing little interest in the encounters themselves or the money she makes.",2013,95,5160996,10840313,Mandarin Films,Unrated,2014-04-25,['François Ozon'],"['Marine Vacth', 'Géraldine Pailhas', 'Frédéric Pierrot', 'Fantin Ravat']","['Drama', 'Romance']",0,False,True
DAYLIGHTS END,"Following an outbreak that turned most of mankind into vampire-zombie-like creatures, the few survivors have to fight the creatures and marauders.",2016,105,2156695,12138,Throttle Films,Unrated,2016-09-23,['William Kaufman'],"['Johnny Strong', 'Lance Henriksen', 'Louis Mandylor', 'Hakeem Kae-Kazim']","['Action', 'Fantasy', 'Horror', 'Sci-Fi']",0,False,False
THE WITCH,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.",2015,92,4367804,44140975,Parts and Labor,R,2016-02-19,['Robert Eggers'],"['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie', 'Julian Richings']","['Drama', 'Horror', 'Mystery']",0,False,True
AFTERMATH,Two strangers' lives become inextricably bound together after a devastating plane crash.,2017,94,11086469,887771,EmmettFurlaOasis Films EFO Films,R,2017-04-07,['Elliott Lester'],"['Arnold Schwarzenegger', 'Scoot McNairy', 'Maggie Grace', 'Judah Nelson']","['Drama', 'Thriller']",0,False,False
EVERYBODY KNOWS,"Laura, a Spanish woman living in Buenos Aires, returns to her hometown outside Madrid with her two children to attend her sister's wedding. However, the trip is upset by unexpected events that bring secrets into the open.",2018,133,10306801,19764490,Memento Films Production,R,2019-02-08,['Asghar Farhadi'],"['Penélope Cruz', 'Javier Bardem', 'Ricardo Darín', 'Eduard Fernández']","['Crime', 'Drama', 'Mystery', 'Thriller']",0,False,True
CHARLIES ANGELS,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",2019,118,48592168,74183930,Columbia Pictures,PG-13,2019-11-15,['Elizabeth Banks'],"['Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks']","['Action', 'Adventure', 'Comedy']",0,False,True
HATRED,"Despite being in love with a Ukrainian boy from the same village, Polish girl named Zosia is forced into marrying a wealthy widower. Soon World War II begins and ethnic tensions arise. Amidst the war chaos Zosia tries to survive.",2016,150,10783477,7505995,Andrzej Ludzinski Productions,,2016-10-07,['Wojciech Smarzowski'],"['Michalina Labacz', 'Arkadiusz Jakubik', 'Wasyl Wasylik', 'Adrian Zaremba']","['Drama', 'History', 'War']",0,False,False
GUNS AKIMBO,A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.,2019,98,15185052,1047534,Altitude Film Entertainment,R,2020-02-28,['Jason Lei Howden'],"['Daniel Radcliffe', 'Samara Weaving', 'Ned Dennehy', 'Natasha Liu Bordizzo']","['Action', 'Comedy', 'Thriller']",0,False,False
DABANGG 3,"Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds.",2019,160,101233684,14967023,Arbaaz Khan Productions,Unrated,2019-12-20,['Prabhu Deva'],"['Salman Khan', 'Sudeep', 'Sonakshi Sinha', 'Saiee Manjrekar']","['Action', 'Comedy', 'Crime']",0,False,False
SHOOT THE MOON,"A mother of four is abandoned by her husband for a younger woman. Husband, wife and children struggle to survive the seemingly inevitable divorce.",1982,124,32183751,24721224,MetroGoldwynMayer MGM,R,1982-02-19,['Alan Parker'],"['Albert Finney', 'Diane Keaton', 'Karen Allen', 'Peter Weller']",['Drama'],0,False,False
SAHARA,"Intent on winning a competition in place of her distinguished late father, beautiful young heiress Dale takes on the guise of a man and competes in his spot, embarking on a car race that crosses the unforgiving Sahara desert.",1983,111,64962600,3645602,Cabal Film,PG,1984-03-02,"['Andrew V. McLaglen', 'John Guillermin']","['Brooke Shields', 'Lambert Wilson', 'Horst Buchholz', 'John Rhys-Davies']","['Adventure', 'Drama']",0,False,False
THE COMPANY OF WOLVES,"A teenage girl in a country manor falls asleep while reading a magazine, and has a disturbing dream involving wolves prowling the woods below her bedroom window.",1984,95,4981924,10933666,Incorporated Television Company ITC,R,1985-04-19,['Neil Jordan'],"['Sarah Patterson', 'Angela Lansbury', 'David Warner', 'Graham Crowden']","['Drama', 'Fantasy', 'Horror']",0,False,True
SWING SHIFT,A woman finds romance when she takes a job at an aircraft plant to help make ends meet after her husband goes off to war.,1984,100,37364436,16565413,Warner Bros,PG,1984-04-13,['Jonathan Demme'],"['Goldie Hawn', 'Kurt Russell', 'Christine Lahti', 'Fred Ward']","['Drama', 'Romance', 'War']",0,False,False
FRIDAY THE 13TH PART VI JASON LIVES,"Tommy Jarvis goes to the graveyard to get rid of Jason Voorhees' body once and for all, but inadvertently brings him back to life instead. The newly revived killer once again seeks revenge, and Tommy may be the only one who can defeat him.",1986,86,7084242,45981592,Paramount Pictures,R,1986-08-01,['Tom McLoughlin'],"['Thom Mathews', 'Jennifer Cooke', 'David Kagen', 'Kerry Noonan']","['Horror', 'Thriller']",0,False,True
HEARTBURN,"She's a magazine writer who gives up her career for love and family. He's a playboy newspaper columnist who can't quite give up his old tricks. And if that combination doesn't give a relationship Heartburn, nothing will.",1986,108,47228284,59777286,Paramount Pictures,R,1986-07-25,['Mike Nichols'],"['Meryl Streep', 'Jack Nicholson', 'Jeff Daniels', 'Maureen Stapleton']","['Comedy', 'Drama']",2,False,True
PRETTY IN PINK,A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.,1986,97,21252728,95588820,Paramount Pictures,PG-13,1986-02-28,['Howard Deutch'],"['Molly Ringwald', 'Jon Cryer', 'Harry Dean Stanton', 'Annie Potts']","['Comedy', 'Drama', 'Romance']",0,False,True
AKIRA,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,1988,124,-1888440669,5620987,Akira Committee Company Ltd,R,1988-07-16,['Katsuhiro Ôtomo'],"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tesshô Genda']","['Animation', 'Action', 'Sci-Fi', 'Thriller']",0,False,True
THE ABYSS,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,1989,140,146102983,187846898,Twentieth Century Fox,PG-13,1989-08-09,['James Cameron'],"['Ed Harris', 'Mary Elizabeth Mastrantonio', 'Michael Biehn', 'Leo Burmester']","['Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",0,False,True
SHOWDOWN IN LITTLE TOKYO,"Two L.A. cops with opposing views on what is the best way to uphold the law have to work together to bring down the Yakuza, while trying to protect a beautiful woman.",1991,79,15201820,4324076,Little Tokyo Productions,R,1991-08-23,['Mark L. Lester'],"['Dolph Lundgren', 'Brandon Lee', 'Cary-Hiroyuki Tagawa', 'Tia Carrere']","['Action', 'Comedy', 'Crime', 'Thriller']",0,False,False
RUMBLE IN THE BRONX,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,1995,87,12736761,55009304,Golden Harvest Company,R,1996-02-23,['Stanley Tong'],"['Jackie Chan', 'Anita Mui', 'Françoise Yip', 'Bill Tung']","['Action', 'Comedy', 'Crime', 'Thriller']",0,False,True
TIN CUP,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his successful rival's girlfriend.,1996,135,74228776,88834670,New Regency Productions,R,1996-08-16,['Ron Shelton'],"['Kevin Costner', 'Rene Russo', 'Don Johnson', 'Cheech Marin']","['Comedy', 'Drama', 'Romance', 'Sport']",1,False,True
THE DEVILS BACKBONE,"After Carlos - a 12-year-old whose father has died in the Spanish Civil War - arrives at an ominous boys' orphanage, he discovers the school is haunted and has many dark secrets which he must uncover.",2001,106,6576225,9618920,El Deseo,R,2001-04-20,['Guillermo del Toro'],"['Marisa Paredes', 'Eduardo Noriega', 'Federico Luppi', 'Fernando Tielve']","['Drama', 'Horror']",0,False,True
DAGON,A boating accident runs a young man and woman ashore in a decrepit Spanish fishing town which they discover is in the grips of an ancient sea god and its monstrous half human offspring.,2001,98,6137810,211967,Castelao Producciones,R,2001-10-31,['Stuart Gordon'],"['Ezra Godden', 'Francisco Rabal', 'Raquel Meroño', 'Macarena Gómez']","['Fantasy', 'Horror', 'Mystery']",0,False,False
